店舗名,住所,TEL
鶴見中央店,〒230-0051神奈川県横浜市鶴見区鶴見中央2-16-22,045-508-0210
鶴見下野谷町店,〒230-0047神奈川県横浜市鶴見区下野谷町 1-44,045-508-2216
鶴見平安町店,〒230-0031神奈川県横浜市鶴見区平安町 2-7-8,045-508-3275
鶴見大東町店,〒230-0032神奈川県横浜市鶴見区大東町 3-5,045-508-7492
鶴見元宮店,〒230-0004神奈川県横浜市鶴見区元宮 1-17-22,045-570-3270
鶴見下末吉店,〒230-0012神奈川県横浜市鶴見区下末吉 6-10-37,045-570-3166
川崎渡田店,〒210-0837神奈川県川崎市川崎区渡田 2-15-10,044-329-1078
横浜東寺尾店,〒230-0077神奈川県横浜市鶴見区東寺尾 2-6-9,045-571-2800
川崎田島町店,〒210-0853神奈川県川崎市川崎区田島町 16-1,044-328-6105
川崎下平間店,〒212-0053神奈川県川崎市幸区下平間 338-1,044-542-4791
鶴見北寺尾店,〒230-0074神奈川県横浜市鶴見区北寺尾6-32-9,045-570-5281
クリエイト薬局鶴見東寺尾一丁目店,〒230-0077神奈川県横浜市鶴見区東寺尾1-3-12東寺尾メディカルセンター1階,045-580-7066
川崎南加瀬店,〒212-0055神奈川県川崎市幸区南加瀬 3-9-35,044-580-6850
アクロスプラザ東神奈川店,〒221-0001神奈川県横浜市神奈川区西寺尾 1-16-15アクロスプラザ東神奈川1階,045-439-3401
川崎田尻町店,〒211-0014神奈川県川崎市中原区田尻町 67-1,044-540-0067
川崎桜本店,〒210-0833神奈川県川崎市川崎区桜本2-31-19,044-280-0333
川崎平間駅前店,〒211-0015神奈川県川崎市中原区北谷町 4,044-520-3020
菊名調剤薬局店,〒222-0013神奈川県横浜市港北区錦が丘 16-14,045-433-3555
ｸﾘｴｲﾄ薬局港北大倉山店,〒222-0037神奈川県横浜市港北区大倉山1-11-3,045-541-9063
ｸﾘｴｲﾄ薬局日吉中央通り店,〒223-0062神奈川県横浜市港北区日吉本町1-18-18,045-564-8896
港北日吉本町店,〒223-0062神奈川県横浜市港北区日吉本町 4-1-41,045-566-2260
ｸﾘｴｲﾄ薬局日吉本町店,〒223-0062神奈川県横浜市港北区日吉本町 4-12-8,045-564-3050
ウィングキッチン京急蒲田店,〒144-0052東京都大田区蒲田4-50-11　ウィングキッチン京急蒲田 1階,03-5711-7165
港北綱島西店,〒223-0053神奈川県横浜市港北区綱島西 3-22-3,045-534-0366
ｸﾘｴｲﾄ薬局日吉本町駅前店,〒223-0062神奈川県横浜市港北区日吉本町 5-4-3,045-560-3725
横浜反町店,〒221-0825神奈川県横浜市神奈川区反町 2-13-9,045-411-3033
横浜山下公園店,〒231-0023神奈川県横浜市中区山下町27　プロシード山下公園ザ・タワー１階,045-227-6377
